temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
6,2,0.5,2,7,0.2857142857142857,0.9939483900433889,0.6173913043478261,0.8875,0.7282051282051282,0.005070292694169164,71,44,9,8634,10,0.745945945945946,0.8625,0.004148421295229315
7,2,0.5,2,7,0.2857142857142857,0.9939483900433889,0.6173913043478261,0.8875,0.7282051282051282,0.005070292694169164,71,44,9,8634,10,0.745945945945946,0.8625,0.004148421295229315
6,8,2.0,6,7,0.8571428571428571,0.9936058460835807,0.5952380952380952,0.9375,0.7281553398058253,0.00587693016824153,75,51,5,8627,21,0.745945945945946,0.8625,0.004148421295229315
6,8,3.0,6,7,0.8571428571428571,0.9936058460835807,0.5952380952380952,0.9375,0.7281553398058253,0.00587693016824153,75,51,5,8627,21,0.745945945945946,0.8625,0.004148421295229315
6,8,5.0,6,7,0.8571428571428571,0.9936058460835807,0.5952380952380952,0.9375,0.7281553398058253,0.00587693016824153,75,51,5,8627,21,0.745945945945946,0.8625,0.004148421295229315
6,15,2.0,7,7,1.0,0.9934916647636447,0.5891472868217055,0.95,0.7272727272727273,0.006107398017976493,76,53,4,8625,24,0.745945945945946,0.8625,0.004148421295229315
6,2,2.0,3,7,0.42857142857142855,0.9938342087234528,0.6101694915254238,0.9,0.7272727272727273,0.005300760543904126,72,46,8,8632,13,0.745945945945946,0.8625,0.004148421295229315
6,2,3.0,3,7,0.42857142857142855,0.9938342087234528,0.6101694915254238,0.9,0.7272727272727273,0.005300760543904126,72,46,8,8632,13,0.745945945945946,0.8625,0.004148421295229315
6,2,5.0,3,7,0.42857142857142855,0.9938342087234528,0.6101694915254238,0.9,0.7272727272727273,0.005300760543904126,72,46,8,8632,13,0.745945945945946,0.8625,0.004148421295229315
9,10,0.5,3,7,0.42857142857142855,0.9938342087234528,0.6101694915254238,0.9,0.7272727272727273,0.005300760543904126,72,46,8,8632,13,0.745945945945946,0.8625,0.004148421295229315
9,15,0.5,3,7,0.42857142857142855,0.9938342087234528,0.6101694915254238,0.9,0.7272727272727273,0.005300760543904126,72,46,8,8632,13,0.745945945945946,0.8625,0.004148421295229315
