temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
9,2,3.0,2,7,0.2857142857142857,0.994176752683261,0.6283185840707964,0.8875,0.7357512953367875,0.004839824844434202,71,42,9,8636,8,0.745945945945946,0.8625,0.004148421295229315
9,2,5.0,2,7,0.2857142857142857,0.994176752683261,0.6283185840707964,0.8875,0.7357512953367875,0.004839824844434202,71,42,9,8636,8,0.745945945945946,0.8625,0.004148421295229315
6,8,1.0,6,7,0.8571428571428571,0.9938342087234528,0.6048387096774194,0.9375,0.7352941176470589,0.005646462318506568,75,49,5,8629,19,0.745945945945946,0.8625,0.004148421295229315
7,5,2.0,6,7,0.8571428571428571,0.9938342087234528,0.6048387096774194,0.9375,0.7352941176470589,0.005646462318506568,75,49,5,8629,19,0.745945945945946,0.8625,0.004148421295229315
7,5,3.0,6,7,0.8571428571428571,0.9938342087234528,0.6048387096774194,0.9375,0.7352941176470589,0.005646462318506568,75,49,5,8629,19,0.745945945945946,0.8625,0.004148421295229315
7,5,5.0,6,7,0.8571428571428571,0.9938342087234528,0.6048387096774194,0.9375,0.7352941176470589,0.005646462318506568,75,49,5,8629,19,0.745945945945946,0.8625,0.004148421295229315
7,8,1.0,6,7,0.8571428571428571,0.9938342087234528,0.6048387096774194,0.9375,0.7352941176470589,0.005646462318506568,75,49,5,8629,19,0.745945945945946,0.8625,0.004148421295229315
6,2,1.0,3,7,0.42857142857142855,0.994062571363325,0.6206896551724138,0.9,0.7346938775510204,0.005070292694169164,72,44,8,8634,11,0.745945945945946,0.8625,0.004148421295229315
7,2,1.0,3,7,0.42857142857142855,0.994062571363325,0.6206896551724138,0.9,0.7346938775510204,0.005070292694169164,72,44,8,8634,11,0.745945945945946,0.8625,0.004148421295229315
9,5,0.5,3,7,0.42857142857142855,0.994062571363325,0.6206896551724138,0.9,0.7346938775510204,0.005070292694169164,72,44,8,8634,11,0.745945945945946,0.8625,0.004148421295229315
6,15,1.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
7,10,2.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
7,10,3.0,7,7,1.0,0.9937200274035168,0.5984251968503937,0.95,0.7342995169082126,0.00587693016824153,76,51,4,8627,22,0.745945945945946,0.8625,0.004148421295229315
